family,symbol,time,equityUsd
momentum,XRP,2026-06-09T00:00:00.000Z,36.5778
momentum,XRP,2026-06-10T00:00:00.000Z,36.0085
momentum,XRP,2026-06-11T00:00:00.000Z,36.6394
momentum,XRP,2026-06-12T00:00:00.000Z,36.5039
momentum,XRP,2026-06-13T00:00:00.000Z,36.7598
momentum,XRP,2026-06-14T00:00:00.000Z,37.2689
momentum,XRP,2026-06-15T00:00:00.000Z,38.0142
momentum,XRP,2026-06-16T00:00:00.000Z,37.698
momentum,XRP,2026-06-17T00:00:00.000Z,37.2583
momentum,XRP,2026-06-18T00:00:00.000Z,36.5028
rs_continuation,DOGE,2026-05-20T00:00:00.000Z,40
rs_continuation,DOGE,2026-05-21T00:00:00.000Z,40
rs_continuation,DOGE,2026-05-22T00:00:00.000Z,40
rs_continuation,DOGE,2026-05-23T00:00:00.000Z,40
rs_continuation,DOGE,2026-05-24T00:00:00.000Z,40
rs_continuation,DOGE,2026-05-25T00:00:00.000Z,40
rs_continuation,DOGE,2026-05-26T00:00:00.000Z,40
rs_continuation,DOGE,2026-05-27T00:00:00.000Z,40
rs_continuation,DOGE,2026-05-28T00:00:00.000Z,40
rs_continuation,DOGE,2026-05-29T00:00:00.000Z,40
rs_continuation,DOGE,2026-05-30T00:00:00.000Z,40
rs_continuation,DOGE,2026-05-31T00:00:00.000Z,40
rs_continuation,DOGE,2026-06-01T00:00:00.000Z,40
rs_continuation,DOGE,2026-06-02T00:00:00.000Z,40
rs_continuation,DOGE,2026-06-03T00:00:00.000Z,40
rs_continuation,DOGE,2026-06-04T00:00:00.000Z,40
rs_continuation,DOGE,2026-06-05T00:00:00.000Z,40
rs_continuation,DOGE,2026-06-06T00:00:00.000Z,40
rs_continuation,DOGE,2026-06-07T00:00:00.000Z,40
rs_continuation,DOGE,2026-06-08T00:00:00.000Z,40
rs_continuation,DOGE,2026-06-09T00:00:00.000Z,40
rs_continuation,DOGE,2026-06-10T00:00:00.000Z,40
rs_continuation,DOGE,2026-06-11T00:00:00.000Z,40
rs_continuation,DOGE,2026-06-12T00:00:00.000Z,40
rs_continuation,DOGE,2026-06-13T00:00:00.000Z,40
rs_continuation,DOGE,2026-06-14T00:00:00.000Z,40
rs_continuation,DOGE,2026-06-15T00:00:00.000Z,40
rs_continuation,DOGE,2026-06-16T00:00:00.000Z,40
rs_continuation,DOGE,2026-06-17T00:00:00.000Z,40
rs_continuation,DOGE,2026-06-18T00:00:00.000Z,40
momentum,DOGE,2026-05-20T00:00:00.000Z,40
momentum,DOGE,2026-05-21T00:00:00.000Z,40
momentum,DOGE,2026-05-22T00:00:00.000Z,40
momentum,DOGE,2026-05-23T00:00:00.000Z,40
momentum,DOGE,2026-05-24T00:00:00.000Z,40
momentum,DOGE,2026-05-25T00:00:00.000Z,40
momentum,DOGE,2026-05-26T00:00:00.000Z,40
momentum,DOGE,2026-05-27T00:00:00.000Z,40
momentum,DOGE,2026-05-28T00:00:00.000Z,40
momentum,DOGE,2026-05-29T00:00:00.000Z,40
momentum,DOGE,2026-05-30T00:00:00.000Z,40
momentum,DOGE,2026-05-31T00:00:00.000Z,40
momentum,DOGE,2026-06-01T00:00:00.000Z,40
momentum,DOGE,2026-06-02T00:00:00.000Z,37.923
momentum,DOGE,2026-06-03T00:00:00.000Z,37.923
momentum,DOGE,2026-06-04T00:00:00.000Z,37.923
momentum,DOGE,2026-06-05T00:00:00.000Z,37.923
momentum,DOGE,2026-06-06T00:00:00.000Z,37.923
momentum,DOGE,2026-06-07T00:00:00.000Z,37.923
momentum,DOGE,2026-06-08T00:00:00.000Z,37.923
momentum,DOGE,2026-06-09T00:00:00.000Z,37.5424
momentum,DOGE,2026-06-10T00:00:00.000Z,37.078
momentum,DOGE,2026-06-11T00:00:00.000Z,37.8436
momentum,DOGE,2026-06-12T00:00:00.000Z,37.8408
momentum,DOGE,2026-06-13T00:00:00.000Z,38.3243
momentum,DOGE,2026-06-14T00:00:00.000Z,38.5513
momentum,DOGE,2026-06-15T00:00:00.000Z,38.3848
momentum,DOGE,2026-06-16T00:00:00.000Z,38.1327
momentum,DOGE,2026-06-17T00:00:00.000Z,37.7984
momentum,DOGE,2026-06-18T00:00:00.000Z,36.958
rs_continuation,ADA,2026-05-20T00:00:00.000Z,40
